24,asus gaming rog gl552vx ,intel core i7 7700 processor 4gb ddr4 2133 mhz sdram 2 x so dimm socket for expansion up to 32 gb sdram 15 6 16 9 display nvidia geforce gtx 950m with 4g gddr5 vram 1tb hdd super multi dvd windows 10 home 64 bit 1 x microphone in headphone out jack 1 x usb 3 1 type c port s 2 x usb 3 0 port s 1 x usb 2 0 port s 1 x rj45 lan jack for lan insert 1 x hdmi built in stereo 2 w speakers and microphone output 19 v dc 6 32 a 120 w input 100 240 v ac 50 60 hz universal 3 2 pin compact power supply system 385 x 255 x 32 4 mm wxdxh ,Rp 13799900

25,asus x550z exx211t vga amd r7 m260dx 3gb amd fx 7500 r7 8gb 1tb win10 ,asus x550z exx211t gr processor amd fx 7500 radeon r7 10 compute cores 4c 6g 2 10ghz ram 2 x 4096 mb ddr3 8 gb pc3l 12800 dual slot memory harddisk 1 tb hdd kamera hd web camera vga amd radeon r7 graphics amd radeon r7 m260dx dedicated 3072 mb shared 3557 mb up to 6629 mb batera 4 cell li ion fitur dvd super multi dl drive card reader 3 in 1 realtek pcie gbe family controller bluetooth webcam cardreader 2 port usb 3 0 1 port usb 2 0 hdmi vga out qualcomm atheros ar956x wireless network adapter layar 15 6 hd slim gl 1366 x 768 warna dark grey operation system os windows 10 home single language 64 bit garansi 1 tahun lengkap dus lengkap adaptor kartu garansi buku manual bonus tas beli supplier laptop punya lebih design baru jamin mantap barang jual jamin 100 baru garansi ima cod delivery gojek untuk daerah surabaya supplier laptop utama kuality control irim untuk irim aman doublein packing welcome reseller dropship beli qty kirim pesan ,Rp 6329000

26,asus rog slim g551vw i7 edition w 4k ultra hd ips display ,assallamuallaikum agan2 sista2 mbali nih ane rizqi gandantestore jual laptop high end check it out asus rog gaming g551vw 4k edition spesifikasi processor 6th gen intel core i7 6700 hq skylake 2 6 ghz up to 3 5 ghz memory 8 gb pc4 superspeed ddr4 sdram up to 32 gb graphic nvidia geforce gtx 960m 4 gb dedicated vram 128 bit w integrated graphics hd 530 storage 1 tb 7200 rpm hdd display 15 6 inch ultra hd 4k ips display zero b60,asus x441sa n3060 ram 4gb hdd 500gb dos ,processor intel celeron dual core n3060 processor operating system dos non os chipset integrated intel cpu memory 4 gb onboard memory display 14 0 16 9 led backlit hd 1366x768 storage hard drives 500gb 5400rpm sata hdd optical drive super multi dvd yboard chicklet yboard card reader multi format card reader webcam vga web camera networking wi fi integrated 802 11b g n integrated 802 11 ac bluetooth built in bluetooth v4 0 interface 1 x combo audio jack 1 x usb 3 0 port s 1 x usb 2 0 port s 1 x usb c gen 1 up to 5 gbps 1 x rj45 lan jack for lan insert 1 x sd card reader 1x ac adapter plug audio asus sonicmaster technology garansi resmi 2 tahun asus ,Rp 3650000

61,asus a455l cori5 5200u broadwell hard gamming ,asus a455l cori5 5200u broadwell spesifikasi processor cpu cori5 5200u broadwell ram ddr3 4gb fast hardisc 500gb lega vga invidia 930m gamming grafisc ok layar 14inc led hd dvd super multi webcam hdmi wifi lan card reader multi in 1 reader usb 3port lengkap unit laptop battrey adaptor kabel power tas laptop kondisi hardware normal 100 fisik 99 baru segel blm bongkar batrey tahan 3 4jm gantung pmakei os win 8 1 driver simpan folder pin bb by riquez harga rp 5 700 nett iklan msh tayang barang ready cara esan baca ikla telit ccok dgn unit silahakn trasnfer bukalapak barang kirim jne posindo untuk area luar kota pulau bayar c o d laku sidoarjo sby panda mojosar sela atur ,Rp 5700000

62,asus rog g73 jh republik of gamers ,jual laptop sayang untuk gamers alas jual uda gak pake laptop spec windows 10 ram 6gb i7 1 73ghz spek tanya2 lgsg kondisi awat p mmz laptop awat banget gan pasang pasta thermal jd pake laptop dingin batre gak fungsi awal guna charger langsung touchpad uda gak fungsi cover anti gores tama beli yboard backlight fungsi normal overall 90 lengkap laptop charger tanya2 minat hubungin nol delap triple dua sembil tiga dua empat kali sembil prefer whatsapp ya harga 4 500 000 cod oke daerah pondok indah ,Rp 4500000

63,asus zenbook ux310uq fc337t ci7 7500u 2 70 3 50ghz 1tb 128gb ssd nvidia gt940mx 2gb ,asus zenbook ux310uq fc337t spesifikasi ci7 7500u 2 70 3 50ghz 8gb 1tb 128gb ssd nvidia gt940mx 2gb 13 3 fhd win10 no dvd rw cam bluetooth beli puya lebih design baru asus jamin mantaff 100 brand new in the box garansi resmi 2 tahun ima cod delivery untuk daerah jakarta free back harga murah toko mall lengkap unit laptop charger buku padu kartu garansi dus fullset ,Rp 14199000

64,asus x453sa good kondition ,processor intel n3050 speed 1 6 ghz memory ram 2 gb hard disk 500 gb sistem grafis intel hd graphics layar 14 1in hd display battera 4 cell dvdrw wifi webcam bluetooth usb slot hdmi slot sd card slot vga slot lengkap unit carger cocok bangat nich agan ajar mahasiswa kerja kantor harga dita gan super murah riah agan laptop second murah riah kualitas ok punya mulus lancar minat langsung aja gan masukin kranjang bukalapak tunggu gan order barang batas habis posting langsung ebut garansi mesin ane kasih 4 minggu sedia warna hitam ,Rp 2517500

